step	dice_multi
0	0.49576388553038264
1	0.49576388553038264
2	0.6074608289020387
3	0.7690559983458647
4	0.7855954454591956
5	0.7973072143970932
6	0.8049078821096566
7	0.799507542855364
8	0.8006391448534413
